x_m,y_bed_m,scour_depth_mm
-0.4938,-0.0779546,77.9546
-0.4813,-0.0307209,30.7209
-0.4688,-0.0674232,67.42320000000001
-0.4562,-0.0533989,53.3989
-0.4437,-0.0625233,62.523300000000006
-0.4313,-0.057852,57.852000000000004
-0.4188,-0.0491536,49.1536
-0.4062,-0.0375701,37.570100000000004
-0.3937,-0.0340636,34.0636
-0.3812,-0.0244962,24.496199999999998
-0.3688,-0.0216,21.6
-0.3563,-0.0162069,16.2069
-0.3438,-0.018839,18.839000000000002
-0.3312,-0.0113056,11.3056
-0.3187,-0.00902512,9.02512
-0.3063,-0.0047786,4.7786
-0.2938,-0.00280282,2.80282
-0.2812,0.00088081,0.0
-0.2687,0.00088081,0.0
-0.2562,0.00447656,0.0
-0.2437,0.00632984,0.0
-0.2313,0.00822107,0.0
-0.2188,0.010151,0.0
-0.2062,0.0121205,0.0
-0.1938,0.0121205,0.0
-0.1812,0.0121205,0.0
-0.1688,0.0121205,0.0
-0.1562,0.0121205,0.0
-0.1437,0.010151,0.0
-0.1313,0.010151,0.0
-0.1187,0.010151,0.0
-0.1062,0.00822107,0.0
-0.0938,0.00822107,0.0
-0.0813,0.00632984,0.0
-0.0688,0.00447656,0.0
-0.0563,0.00447656,0.0
-0.0437,0.00266047,0.0
-0.0312,0.00266047,0.0
-0.0187,0.00088081,0.0
-0.0063,0.00088081,0.0
0.0026,0.00088081,0.0
0.0076,0.00088081,0.0
0.0127,0.00088081,0.0
0.0179,0.00088081,0.0
0.023,-0.00091927,0.91927
0.028,-0.00091927,0.91927
0.0331,-0.00091927,0.91927
0.0382,-0.00091927,0.91927
0.0433,-0.00091927,0.91927
0.0485,-0.00091927,0.91927
0.0536,-0.00091927,0.91927
0.0587,-0.00091927,0.91927
0.0638,-0.00091927,0.91927
0.0688,-0.00091927,0.91927
0.074,-0.00091927,0.91927
0.079,-0.00091927,0.91927
0.0842,-0.00091927,0.91927
0.0892,-0.00091927,0.91927
0.0944,-0.00091927,0.91927
0.0994,-0.00091927,0.91927
0.1046,-0.00091927,0.91927
0.1096,-0.00091927,0.91927
0.1148,-0.00091927,0.91927
0.1198,-0.00091927,0.91927
0.125,0.00088081,0.0
0.13,0.00088081,0.0
0.1351,0.00088081,0.0
0.1403,0.00088081,0.0
0.1454,0.00266047,0.0
0.1505,0.00266047,0.0
0.1622,0.00447656,0.0
0.1807,0.00632984,0.0
0.1992,0.00822107,0.0
0.2176,0.010151,0.0
0.2361,0.00822107,0.0
0.2546,0.00822107,0.0
0.2731,0.00822107,0.0
0.2915,0.00632984,0.0
0.31,0.00632984,0.0
0.3285,0.00632984,0.0
0.3469,0.00447656,0.0
0.3654,0.00447656,0.0
0.3839,0.00447656,0.0
0.4023,0.00447656,0.0
0.4208,0.00447656,0.0
0.4393,0.00266047,0.0
0.4578,0.00266047,0.0
0.4762,0.00266047,0.0
0.4947,0.00266047,0.0
0.5132,0.00266047,0.0
0.5316,0.00088081,0.0
0.5501,0.00088081,0.0
0.5686,0.00088081,0.0
0.587,0.00088081,0.0
0.6055,0.00088081,0.0
0.624,0.00088081,0.0
0.6425,0.00088081,0.0
0.6609,0.00088081,0.0
0.6794,0.00088081,0.0
0.6979,0.00088081,0.0
0.7163,0.00088081,0.0
0.7348,0.00088081,0.0
0.7533,0.00088081,0.0
0.7717,-0.00091927,0.91927
0.7902,-0.00091927,0.91927
0.8087,-0.00091927,0.91927
0.8272,-0.00091927,0.91927
0.8456,-0.00091927,0.91927
0.8641,-0.00091927,0.91927
0.8826,-0.00091927,0.91927
0.901,-0.00091927,0.91927
0.9195,-0.00091927,0.91927
0.938,-0.00091927,0.91927
0.9564,-0.00091927,0.91927
0.9749,-0.00091927,0.91927
0.9934,-0.00091927,0.91927
1.0118,-0.00280282,2.80282
1.0119,-0.00091927,0.91927
1.0303,-0.00091927,0.91927
1.0488,-0.00091927,0.91927
1.0673,-0.00091927,0.91927
1.0857,-0.00091927,0.91927
1.1042,-0.00091927,0.91927
1.1227,-0.00091927,0.91927
1.1411,-0.00091927,0.91927
1.1412,-0.00902512,9.02512
1.1596,-0.00091927,0.91927
1.1781,-0.00091927,0.91927
